phone,Operating System,"Physical Size ""

phys size ""","Physical Size cm

phys size cm","Width px

w px","Height px

h px",Device Width,Px Per Inch,Px Density,Aspect Ratio,Popularity,Vendor,detail view,type
BlackBerry Passport,BlackBerry,4.5,11,1440,1440,1440,453,100% MDPI,1 : 1,0,Vendor object,0,Phone
BlackBerry Leap,BlackBerry,5,12,1280,720,1280,294,100% MDPI,8 : 5,0,Vendor object,0,Phone
BlackBerry Classic Non Camera,BlackBerry,3.5,9,1280,720,1280,291,100% MDPI,8 : 5,0,Vendor object,0,Phone
BlackBerry Torch 9810,BlackBerry,3.2,8,480,360,480,188,100% MDPI,4 : 3,0,Vendor object,0,Phone
Apple iPhone 6,iOS,4.7,11.9,750,1334,750,326,100% MDPI,9 : 16,0,Vendor object,0,Phone
Apple iPhone 6s,iOS,4.7,11.9,750,1334,750,326,100% MDPI,9 : 16,0,Vendor object,0,Phone
Apple iPhone 7,iOS,4.7,11.5,750,1334,750,326,100% MDPI,9 : 16,0,Vendor object,0,Phone
Nokia Lumia 1020,Windows,4.5,11,768,1280,384,332,200% XHDPI,3 : 5,0,Vendor object,0,Phone
Nokia Lumia 520,Windows,4,10,480,800,320,233,150% HDPI,3 : 5,0,Vendor object,0,Phone
Nokia Lumia 620,Windows,3.8,9.7,480,800,320,246,150% HDPI,3 : 5,0,Vendor object,0,Phone
Nokia Lumia 720,Windows,4.3,10.9,480,800,320,217,150% HDPI,3 : 5,0,Vendor object,0,Phone
Nokia Lumia 900,Windows,4.3,11,480,800,320,217,150% HDPI,3 : 5,0,Vendor object,0,Phone
Nokia Lumia 920,Windows,4.5,11,768,1280,384,332,200% XHDPI,3 : 5,0,Vendor object,0,Phone
Nokia Lumia 925,Windows,4.5,11,768,1280,384,332,200% XHDPI,3 : 5,0,Vendor object,0,Phone
Microsoft Lumia 950,Windows,5.2,13.2,1440,2560,1440,564,100% MDPI,9 : 16,0,Vendor object,0,Phone
Alcatel One Touch Idol Ultra,Android,4.7,11.9,720,1280,360,316,200% XHDPI,9 : 16,0,Vendor object,0,Phone
Alcatel One Touch Ultra 995,Android,4.3,10.9,480,800,320,217,150% HDPI,3 : 5,0,Vendor object,0,Phone
Asus Zenfone Max ZC550KL,Android,5.5,14,1280,720,1280,267,100% MDPI,16 : 9,0,Vendor object,0,Phone
BlackBerry BlackBerry Priv,Android,5.4,14,2560,1440,2560,540,100% MDPI,16 : 9,0,Vendor object,0,Phone
BlackBerry Z3,BlackBerry,5,12,960,540,960,220,100% MDPI,16 : 9,0,Vendor object,0,Phone
Huawei Nova 7i,Android,6.4,16.3,1080,2310,1080,398,100% MDPI,19 . 2 : 9,0,Vendor object,0,Phone
Xiaomi Redmi Note 9 Pro,Android,6.7,17,1080,2400,1080,395,100% MDPI,20 : 9,0,Vendor object,0,Phone
Xiaomi Redmi Note 9,Android,6.5,16.5,1080,2340,1080,395,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Xiaomi Redmi Note 8 Pro,Android,6.5,16.5,1080,2340,1080,395,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Xiaomi Redmi Note 8,Android,6.3,16,1080,2340,1080,409,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Panasonic Toughpad FZ-F1,Windows,4.7,12,1280,720,1280,312,100% MDPI,16 : 9,0,Vendor object,0,Phone
BlackBerry Priv,Android,5.4,13.7,1440,2560,1440,540,100% MDPI,9 : 16,0,Vendor object,0,Phone
Huawei Nexus 6p,Android,5.7,14.5,1440,2560,1440,518,100% MDPI,9 : 16,0,Vendor object,0,Phone
Samsung Galaxy SV,Android,5.1,12.9,1080,1920,1080,432,100% MDPI,9 : 16,0,Vendor object,0,Phone
Google Pixel XL,Android,5.5,14,1440,2560,1440,534,100% MDPI,16 : 9,0,Vendor object,0,Phone
Samsung Galaxy S10 Lite,Android,6.7,17,1080,2400,1080,394,100% MDPI,20 : 9,0,Vendor object,0,Phone
Apple iPhone SE 2020,iOS,4.7,11.9,750,1334,750,326,100% MDPI,16 : 9,0,Vendor object,0,Phone
Apple iPhone 12,iOS,6.1,15.5,1170,2532,1170,460,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Apple iPhone 12 Mini,iOS,5.4,13.7,1080,2340,1080,476,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Apple iPhone 12 Pro,iOS,6.1,15.5,1170,2532,1170,460,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Xiaomi Redmi Note 7,Android,6.3,16,1080,2340,1080,409,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Apple iPhone 12 Pro Max,iOS,6.7,17,1284,2778,1284,458,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Samsung Galaxy A71,Android,6.7,17,1080,2400,1080,393,100% MDPI,20 : 9,0,Vendor object,0,Phone
Samsung Galaxy A51,Android,6.5,16.5,1080,2400,1080,405,100% MDPI,20 : 9,0,Vendor object,0,Phone
Samsung Galaxy A70s,Android,6.4,16.3,1080,2400,1080,403,100% MDPI,20 : 9,0,Vendor object,0,Phone
Samsung Galaxy A30,Android,6.4,16.3,1080,2340,1080,403,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Samsung Galaxy A50s,Android,6.4,16.3,1080,2340,1080,403,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Samsung Galaxy A50,Android,6.4,16.3,1080,2340,1080,403,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Samsung Galaxy S7,Android,5.1,12.9,1440,2560,1440,577,100% MDPI,16 : 9,0,Vendor object,0,Phone
Samsung Galaxy S7 Edge,Android,5.5,13.9,1440,2560,1440,534,100% MDPI,16 : 9,0,Vendor object,0,Phone
Samsung Galaxy S20+,Android,6.7,17,1440,3200,1440,525,100% MDPI,20 : 9,0,Vendor object,0,Phone
Samsung Galaxy Note20 Ultra,Android,6.9,17.5,1440,3088,1440,496,100% MDPI,19 . 3 : 9,0,Vendor object,0,Phone
Samsung Galaxy S20 Ultra,Android,6.9,17.5,1440,3200,1440,511,100% MDPI,20 : 9,0,Vendor object,0,Phone
Samsung Galaxy Note10+,Android,6.8,17.3,1440,3040,1440,498,100% MDPI,19 : 9,0,Vendor object,0,Phone
Samsung Galaxy Note20,Android,6.7,17,1080,2400,1080,393,100% MDPI,20 : 9,0,Vendor object,0,Phone
